hopetown_14_15,midrand_ew_5,pvlib_hopetown_0_15,pvlib_hopetown_0_15_0.9
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.076978484,0.019370396,0,0
0.076978484,0.019370396,0,0
11.17055526,5.844133536,0,0
11.17055526,5.844133536,6.886523467,6.197871121
32.20192313,15.84408216,18.67883039,16.81094736
32.20192313,15.84408216,29.26145038,26.33530534
52.0150766,24.19777102,41.3965897,37.25693073
52.0150766,24.19777102,52.02416788,46.82175109
67.1870804,12.83411656,62.94071845,56.64664661
67.1870804,12.83411656,69.65429882,62.68886893
77.70005898,23.9565187,75.05150143,67.54635128
77.70005898,23.9565187,81.06619007,72.95957107
77.69356155,21.17475156,86.31650543,77.68485489
77.69356155,21.17475156,89.97064205,80.97357784
77.69029759,41.4430576,92.66162091,83.39545882
77.69029759,41.4430576,93.92950322,84.5365529
77.69897302,30.22086178,94.08157007,84.67341306
77.69897302,30.22086178,92.34106407,83.10695766
70.87160792,19.69066807,89.40393555,80.46354199
70.87160792,19.69066807,84.64640457,76.18176412
57.78286131,9.908459738,78.74574143,70.87116729
57.78286131,9.908459738,71.66532812,64.49879531
39.22411029,11.73867552,63.43956311,57.0956068
39.22411029,11.73867552,52.94117121,47.64705409
19.23691737,6.410442636,42.18046657,37.96241991
19.23691737,6.410442636,30.92019566,27.82817609
2.262674934,0.16721875,18.8349703,16.95147327
2.262674934,0.16721875,6.09386969,5.484482721
0,0,4.639082342,4.175174108
0,0,2.335149101,2.10163419
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.062877473,0.130226477,0,0
0.062877473,0.130226477,0,0
11.8758476,9.292160833,0,0
11.8758476,9.292160833,6.77881664,6.100934976
33.99571245,16.48077363,18.21304963,16.39174467
33.99571245,16.48077363,28.43057759,25.58751983
54.65202413,37.43148764,40.06420874,36.05778786
54.65202413,37.43148764,50.03303833,45.0297345
70.59272505,46.66571844,60.07312986,54.06581688
70.59272505,46.66571844,67.90526265,61.11473639
77.69622763,53.92411208,74.99352993,67.49417694
77.69622763,53.92411208,80.91810247,72.82629222
